Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/orders?user_id=3053&order_date=2022-04-11+19%3A40%3A15,1,1,36781.58390000317,36781.58390000317,36781.58390000317,36781.58390000317,21.0,0.00654915718479559,0.00654915718479559,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
PUT,/orders?user_id=3053&order_date=2022-04-11+19%3A41%3A04,1,0,19851.709100003063,19851.709100003063,19851.709100003063,19851.709100003063,4.0,0.00654915718479559,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
PUT,/orders?user_id=3054&order_date=2022-04-11+19%3A40%3A08,1,0,39931.21859999883,39931.21859999883,39931.21859999883,39931.21859999883,4.0,0.00654915718479559,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
PUT,/orders?user_id=3060&order_date=2022-04-11+19%3A40%3A16,1,1,36369.36340000102,36369.36340000102,36369.36340000102,36369.36340000102,21.0,0.00654915718479559,0.00654915718479559,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
PUT,/orders?user_id=3065&order_date=2022-04-11+19%3A39%3A44,1,0,14856.786000000284,14856.786000000284,14856.786000000284,14856.786000000284,4.0,0.00654915718479559,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
PUT,/orders?user_id=3065&order_date=2022-04-11+19%3A40%3A08,1,0,39408.34570000152,39408.34570000152,39408.34570000152,39408.34570000152,4.0,0.00654915718479559,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
PUT,/orders?user_id=3093&order_date=2022-04-11+19%3A39%3A34,1,0,8690.26870000016,8690.26870000016,8690.26870000016,8690.26870000016,4.0,0.00654915718479559,0.0,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
GET,/orders?user_id=31,1,0,29634.720099998958,29634.720099998958,29634.720099998958,29634.720099998958,9661.0,0.00654915718479559,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
PUT,/orders?user_id=31&order_date=2022-04-11+19%3A41%3A06,1,0,17096.988500001316,17096.988500001316,17096.988500001316,17096.988500001316,4.0,0.00654915718479559,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
PUT,/orders?user_id=3151&order_date=2022-04-11+19%3A40%3A26,1,0,29962.574299999687,29962.574299999687,29962.574299999687,29962.574299999687,4.0,0.00654915718479559,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
